id,title,fiscal_year,status,priority,themes,regions,is_active,file_path
IVLP-FY2023-001,2  -  Entrepreneurship and Small Business Development  -  San Diego,FY2023,archived,1,"Climate, Security, Health","Europe, Americas",False,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2023-20251122T232359Z-1-001\Proposals Sent FY2023\2 - Entrepreneurship and Small Business Development - San Diego.docx
IVLP-FY2023-002,2  -  Management of Marine Protected Areas OD Argentina,FY2023,archived,1,"Climate, Health, Economy","Indo-Pacific, Americas",False,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2023-20251122T232359Z-1-001\Proposals Sent FY2023\2 - Management of Marine Protected Areas OD Argentina.docx
IVLP-FY2023-003,2  -  U.S. Trade Policy  -  San Diego Diplomacy Council,FY2023,archived,1,"Climate, Security, Economy","Indo-Pacific, Americas",False,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2023-20251122T232359Z-1-001\Proposals Sent FY2023\2 - U.S. Trade Policy - San Diego Diplomacy Council.docx
IVLP-FY2023-004,3  -  Contemporary U.S. Global Economy RP  -  Europe  -  San Diego,FY2023,archived,1,"Climate, Economy, Education","Indo-Pacific, Europe, Americas",False,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2023-20251122T232359Z-1-001\Proposals Sent FY2023\3 - Contemporary U.S. Global Economy RP - Europe - San Diego.docx
IVLP-FY2023-005,3  -  Smart Policy MRP  -  San Diego Proposal,FY2023,archived,1,"Climate, Health, Economy",Global,False,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2023-20251122T232359Z-1-001\Proposals Sent FY2023\3 - Smart Policy MRP - San Diego Proposal.docx
IVLP-FY2023-006,3  -  The Climate Crisis Working Together for Future Generations  -  EUR RP  -  San Diego Proposal,FY2023,archived,1,"Climate, Health, Economy","Europe, Asia",False,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2023-20251122T232359Z-1-001\Proposals Sent FY2023\3 - The Climate Crisis Working Together for Future Generations - EUR RP - San Diego Proposal.docx
IVLP-FY2023-007,3  -  The Climate Crisis Working Together for Future Generations  -  EUR RP  -  San Diego Proposal Updated,FY2023,archived,1,"Climate, Health, Economy","Europe, Asia",False,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2023-20251122T232359Z-1-001\Proposals Sent FY2023\3 - The Climate Crisis Working Together for Future Generations - EUR RP - San Diego Proposal_Updated.docx
IVLP-FY2023-008,4  -  Mitigating Challenges in Women’s Health,FY2023,archived,1,"Climate, Health, Human Rights","Africa, Americas",False,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2023-20251122T232359Z-1-001\Proposals Sent FY2023\4 - Mitigating Challenges in Women’s Health.docx
IVLP-FY2023-009,4  -  Transparency and Accountability in Government,FY2023,archived,1,"Climate, Security, Economy",Americas,False,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2023-20251122T232359Z-1-001\Proposals Sent FY2023\4 - Transparency and Accountability in Government.docx
IVLP-FY2023-010,"5  -  TMSSW, Transnational Crime Proposal Indo - Pacific, Central Asia",FY2023,archived,1,"Security, Economy, Human Rights","Indo-Pacific, Americas, Asia, Central Asia",False,"C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2023-20251122T232359Z-1-001\Proposals Sent FY2023\5 - TMSSW, Transnational Crime Proposal Indo-Pacific, Central Asia.docx"
IVLP-FY2023-011,6  -  Human and Civil Rights Advocacy for Margenalized Populations  -  San Diego,FY2023,archived,1,"Health, Economy, Human Rights","Indo-Pacific, Americas, Asia, Central Asia",False,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2023-20251122T232359Z-1-001\Proposals Sent FY2023\6 - Human and Civil Rights Advocacy for Margenalized Populations - San Diego.docx
IVLP-FY2023-012,6  -  The Institutional Response to Domestic Violence,FY2023,archived,1,"Health, Human Rights, Education","Africa, Americas",False,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2023-20251122T232359Z-1-001\Proposals Sent FY2023\6 - The Institutional Response to Domestic Violence.docx
IVLP-FY2023-013,6 -  Approaches to Climate Change Challenges,FY2023,archived,1,"Climate, Security, Health","Americas, Middle East",False,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2023-20251122T232359Z-1-001\Proposals Sent FY2023\6- Approaches to Climate Change Challenges.docx
IVLP-FY2023-014,6 - Countering Violent Extremism,FY2023,archived,1,"Security, Health, Economy",Global,False,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2023-20251122T232359Z-1-001\Proposals Sent FY2023\6-Countering Violent Extremism.docx
IVLP-FY2023-015,6 - Countering Violent Extremism  -  Community Strategies,FY2023,archived,1,"Security, Health, Economy",Global,False,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2023-20251122T232359Z-1-001\Proposals Sent FY2023\6-Countering Violent Extremism - Community Strategies.docx
IVLP-FY2023-016,6. Sustainable Fisheries Management,FY2023,archived,1,"Climate, Health, Economy","Indo-Pacific, Americas",False,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2023-20251122T232359Z-1-001\Proposals Sent FY2023\6. Sustainable Fisheries Management.docx
IVLP-FY2023-017,7  -  50 Years of Transatlantic Pride,FY2023,archived,1,"Health, Economy, Human Rights","Europe, Americas",False,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2023-20251122T232359Z-1-001\Proposals Sent FY2023\7 - 50 Years of Transatlantic Pride.docx
IVLP-FY2023-018,7  -  Ending Gender - Based Violence,FY2023,archived,1,"Health, Human Rights, Education",Americas,False,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2023-20251122T232359Z-1-001\Proposals Sent FY2023\7 - Ending Gender-Based Violence.docx
IVLP-FY2023-019,7  -  Global Pandemic Collaboration and Recovery,FY2023,archived,1,"Climate, Health, Economy","Indo-Pacific, Africa, Americas",False,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2023-20251122T232359Z-1-001\Proposals Sent FY2023\7 - Global Pandemic Collaboration and Recovery.docx
IVLP-FY2023-020,7  -  Promoting Social Change through the Arts,FY2023,archived,1,"Climate, Economy, Human Rights",Americas,False,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2023-20251122T232359Z-1-001\Proposals Sent FY2023\7 - Promoting Social Change through the Arts.docx
IVLP-FY2023-021,7 -  Renewable Energy as an Economic Driver  IVLP Proposal,FY2023,archived,1,"Climate, Security, Health",Americas,False,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2023-20251122T232359Z-1-001\Proposals Sent FY2023\7- Renewable Energy as an Economic Driver_ IVLP Proposal.docx
IVLP-FY2023-022,8  -  Entrepreneurship and Small Business Development,FY2023,archived,1,"Climate, Health, Economy","Europe, Americas",False,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2023-20251122T232359Z-1-001\Proposals Sent FY2023\8 - Entrepreneurship and Small Business Development.docx
IVLP-FY2023-023,8 -  Regional Responses to Refugee and Migration Issues,FY2023,archived,1,"Security, Health, Economy","Africa, Americas",False,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2023-20251122T232359Z-1-001\Proposals Sent FY2023\8- Regional Responses to Refugee and Migration Issues.docx
IVLP-FY2023-024,8 -  Social Entrepreneurs in the United States,FY2023,archived,1,"Climate, Health, Economy","Europe, Americas",False,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2023-20251122T232359Z-1-001\Proposals Sent FY2023\8- Social Entrepreneurs in the United States.docx
IVLP-FY2023-025,9 -  Best Practices to Improve Food Security,FY2023,archived,1,"Climate, Security, Health",Americas,False,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2023-20251122T232359Z-1-001\Proposals Sent FY2023\9- Best Practices to Improve Food Security.docx
IVLP-FY2023-026,Climate Crisis RP  -  Eurasia  -  Project Data  -  EVRE - 2023 - 0020,FY2023,archived,1,"Climate, Economy, Education",Europe,False,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2023-20251122T232359Z-1-001\Proposals Sent FY2023\Climate Crisis RP - Eurasia - Project Data - EVRE-2023-0020.docx
IVLP-FY2023-027,Conservation and Biodiverity SCP Proposal,FY2023,archived,1,"Climate, Health, Economy","Americas, Asia",False,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2023-20251122T232359Z-1-001\Proposals Sent FY2023\2- Conservation and Biodiversity SCP\Conservation and Biodiverity SCP Proposal.docx
IVLP-FY2023-028,Conservation and Biodiversity SCP  -  Project Data  -  EVRF - 2023 - 0020,FY2023,archived,1,"Climate, Economy, Human Rights","Indo-Pacific, Asia",False,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2023-20251122T232359Z-1-001\Proposals Sent FY2023\2- Conservation and Biodiversity SCP\Conservation and Biodiversity SCP - Project Data - EVRF-2023-0020.docx
IVLP-FY2023-029,Energy as an Economic Driver  IVLP Proposal,FY2023,archived,1,"Climate, Security, Economy",Americas,False,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2023-20251122T232359Z-1-001\Proposals Sent FY2023\Energy as an Economic Driver_ IVLP Proposal.docx
IVLP-FY2023-030,Engaging youth performing arts  -  Project Data  -  EVRN - 2023 - 0004,FY2023,archived,1,"Education, Arts & Culture","Africa, Middle East",False,C:\Users\yoanb\Desktop\MVPSandiegodiplo\Ressource\Proposals Sent FY2023-20251122T232359Z-1-001\Proposals Sent FY2023\Engaging youth performing arts - Project Data - EVRN-2023-0004.docx
